id,station_name,altitude,coord_lng,coord_lat
"VSNEN","Nendaz","1938",2590165,1107852
"VSISE","Isérables","1237",2585331,1112179
"VSBRU","Bruchji","2300",2640999,1136585
"VSVIS","Visperterminen","1352",2635896,1123602
"VSERG","Ergisch","1133",2621396,1126882
"VSCOL","Les Collons","1770",2596040,1114169
"VSSIE","Sierre","535",2609073,1127492
"VSCHO","Choëx","891",2563180,1120189
"VSBSP","Bourg-St-Pierre","1822",2581349,1086251
"AGATT","Attelwil","475",2646308,1235106
"AGSTE","Stetten","355",2665027,1249877
"VSSAB","Saas Balen","1535",2637836,1110929
"VSJEI","Jeizinen","1556",2621858,1130817
"VSBAS","Baltschiedertal","1318",2633928,1132421
"VSMAT","Mattsand","1230",2627249,1110279
"VSVER","Vercorin","1650",2609075,1120732
"VSANZ","Anzère","1614",2597607,1128205
"VSSAL","Saleina","1600",2573290,1092777
"VSCHY","Champéry","1055",2555392,1112526
"WAR","Wartau","468",2756873,1218250
"VSCHA","Chanrion","2473",2595498,1087533
